y4_hhid,children_education___output___tanzania_2014,crop_sales___output___tanzania_2014,expenditure___output___tanzania_2014,has_medical___output___tanzania_2014,no_food_def___output___tanzania_2014,HH_shock___tanzania_2014,receive_assistance___policy___tanzania_2014,amt_assist_rec___policy___tanzania_2014,crop_diverse___policy___tanzania_2014,has_borrowed___policy___tanzania_2014,illness_hh_member___policy___tanzania_2014,has_hire_work___ethiopia___tanzania_2014,number_oxen_own___policy___tanzania_2014,number_of_plough___policy___tanzania_2014,owns_certificate___policy___tanzania_2014,post_damage___policy___tanzania_2014,quant_che_fert___policy___tanzania_2014,quant_pest___policy___tanzania_2014,soil_long___policy___tanzania_2014,soil_short___policy___tanzania_2014,uses_cred___policy___tanzania_2014,uses_irr___policy___tanzania_2014,atten_school___policy___tanzania_2014,dist_road___policy___tanzania_2014,dist_market___policy___tanzania_2014,has_work_fem___policy___tanzania_2014,household_h_age___tanzania_2014,HH_divorce___tanzania_2014,HH_male___tanzania_2014,HH_head_mono___tanzania_2014,HH_head_poly___tanzania_2014,HH_seperated___tanzania_2014,HH_widow___tanzania_2014,HH_nevermar___tanzania_2014,household_size___tanzania_2014,land_surface___tanzania_2014,literacy___tanzania_2014,has_bank_account___policy___tanzania_2014,has_savings___policy___tanzania_2014
1114,0.5,,2623959.5,0,1,0,0,,,,0,,,,,,,,,,,,1,,,,23,0,1,0,0,0,0,1,2,0,0,0,0
1115,0.6666667,,6160201,0,1,0,0,,,,0,,,,,,,,,,,,1,,,1,18,0,0,0,0,0,0,1,3,0,0,1,1
1116,0.1666667,,4787559.5,0,0,1,0,,,,1,,,,,,,,,,,,0.6666667,,,0,41,0,1,0,0,0,0,0,6,0,0,0,0
1118,0.2,,6263661.5,0,1,1,0,,,,3,,,,,,,,,,,,0.6,,,1,63,0,1,1,0,0,0,0,5,0,0,0,
1119,0.4,,6266254,0.2,0,1,0,,,,1,,,,,,,,,,,,0.6,,,1,60,0,0,0,0,1,0,0,5,0,0,0,0
1120,0.2,,6654025,0,1,1,0,,,,1,,,,,,,,,,,,0.8,,,1,32,0,1,0,0,0,0,0,5,0,0,0,0
1121,0.3333333,,6681926.5,0,1,1,0,,,,2,,,,,,,,,,,,1,,,1,35,0,1,0,0,0,0,0,3,0,0,0,1
1122,0.25,,5662512,0,0,1,0,,,,1,,,,,,,,,,,,1,,,1,41,0,1,1,0,0,0,0,4,0,0,1,0
1133,,,2278166.5,0,1,1,0,,,1,0,,,,,,,,,,1,,1,,,,29,0,1,0,0,0,0,1,1,0,0,0,1
1134,0.2857143,,14979961,0,1,1,1,0,,,1,,9,,,,,,,,,,1,,,1,56,0,1,1,0,0,0,0,7,0,0,1,1
1135,0.1666667,,8384187,0,0,1,0,,,,1,,,,,,,,,,,,1,,,1,35,0,1,1,0,0,0,0,6,0,0,0,1
1136,,,3953767.5,0,0,1,0,,,,1,,,,,,,,,,,,0.6666667,,,1,27,0,1,1,0,0,0,0,3,0,0,0,0
1137,,,3785776.5,0,1,1,0,,,,0,,,,,,,,,,,,0.3333333,,,1,23,0,0,0,0,0,0,1,3,0,0,0,1
1139,,,6562796.5,0,1,1,1,0,,,1,,,,,,,,,,,,0.6666667,,,,51,0,1,1,0,0,0,0,3,0,0,0,0
1140,0.2,,6963124.5,0,0,1,0,,,,1,,,,,,,,,,,,1,,,1,41,0,1,1,0,0,0,0,5,0,0,0,0
1142,0.25,,5870441.5,0,0,1,0,,,,0,,,,,,,,,,,,0.75,,,0,47,0,1,1,0,0,0,0,4,0,0,0,0
1152,,,3044488.5,0,0,1,0,,,,2,,,,,,,,,,,,1,,,,57,0,1,1,0,0,0,0,2,0,0,1,1
1153,,,3594856,0,1,1,0,,,,1,,,,,,,,,,,,1,,,1,36,0,1,0,0,1,0,0,2,0,0,0,1
