,cluster,crop_sales___output___ethiopia_2015,latitude___ethiopia_2015,longitude___ethiopia_2015,nid,number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015,household_head_is_male___ethiopia_2015,average_temperature___ethiopia_2015,uses_irrigation___policy___ethiopia_2015,has_saved___policy___ethiopia_2015,number_of_droughts___ethiopia_2015,household_head_is_monogamous___ethiopia_2015,number_of_water_storage_pit_owned___policy___ethiopia_2015,literacy___ethiopia_2015,rural_household___ethiopia_2015,quantity_of_improved_seeds_used___policy___ethiopia_2015,attended_school___ethiopia_2015,number_of_axe_owned___policy___ethiopia_2015,number_of_sickle_owned___policy___ethiopia_2015,uses_credit___policy___ethiopia_2015,household_head_is_polygamous___ethiopia_2015,rooting_conditions_:_moderate_constraint___ethiopia_2015,rooting_conditions_:_no_or_slight_constraint___ethiopia_2015,has_borrowed___policy___ethiopia_2015,rooting_conditions_:_very_severe_constraint___ethiopia_2015,increase_in_price_of_inputs___policy___ethiopia_2015,price_rise_of_food_item___policy___ethiopia_2015,percentage_of_damaged_crop___policy___ethiopia_2015,amount_of_assistance_received___policy___ethiopia_2015,household_head_never_married___ethiopia_2015,household_head_is_separated___ethiopia_2015,number_of_pick_axe_owned___policy___ethiopia_2015,owns_land_certificate___policy___ethiopia_2015,has_a_bank_account___policy___ethiopia_2015,crop_diversification___policy___ethiopia_2015,illness_of_household_member___policy___ethiopia_2015,household_head_is_divorced___ethiopia_2015,rooting_conditions_:_mainly_non-soil___ethiopia_2015,heavy_rains_preventing_work___ethiopia_2015,rooting_conditions_:_severe_constraint___ethiopia_2015,household_head_age___ethiopia_2015,variations_in_greenness___ethiopia_2015,household_head_is_widowed___ethiopia_2015,elevation___ethiopia_2015,average_precipitation___ethiopia_2015
20,3,425.67751166247353,13.642517175999998,38.119182234499995,58.0,8.0,28078.75,100.0,2.0,0.18181818181818185,8.0,3.0,1.0,1.0,246.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.72727272727273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,47.0,46.0,0.0,1325.0,782.0
21,3,432.37356240772573,13.642517175999998,38.119182234499995,59.0,4.0,18927.63,150.0,2.0,0.0,8.0,2.0,1.0,1.0,245.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.78571428571429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,46.0,0.0,1312.0,786.0
22,3,368.2827909888815,13.642517175999998,38.119182234499995,60.0,2.0,18366.09,100.0,3.0,0.3333333333333333,5.0,2.0,1.0,1.0,245.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,46.0,0.0,1308.0,786.0
23,3,932.6642109458687,13.642517175999998,38.119182234499995,61.0,2.0,18753.95,50.0,1.0,0.16666666666666666,6.0,1.0,1.0,1.0,244.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.583333333333332,2486.6262731833704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,46.0,0.0,1342.0,795.0
24,3,2487.104562522317,13.642517175999998,38.119182234499995,63.0,0.0,14494.79,100.0,2.0,0.0,8.0,2.0,1.0,1.0,246.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,48.0,46.0,0.0,1294.0,786.0
25,3,416.1117248835415,13.642517175999998,38.119182234499995,64.0,0.0,33842.34,100.0,3.0,0.0,5.0,3.0,1.0,1.0,245.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,46.0,0.0,1311.0,792.0
26,3,2401.012481511929,13.642517175999998,38.119182234499995,65.0,0.0,21490.45,0.0,3.0,0.0,8.0,2.0,0.0,1.0,244.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,46.0,0.0,1332.0,797.0
27,1,229.57888269436768,13.642517175999998,38.119182234499995,67.0,0.0,3036.91,0.0,0.0,0.0,3.0,1.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,46.0,1.0,1334.0,797.0
28,3,143.48680168397982,14.283467919300001,38.5730157222,71.0,0.0,24073.01,50.0,2.0,0.0,10.0,2.0,1.0,1.0,214.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1315.2956821031482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,36.0,0.0,1747.0,750.0
29,3,956.5786778931987,14.300795946700001,39.0594892637,83.0,0.0,1224.61,50.0,1.0,0.5555555555555556,5.0,2.0,1.0,1.0,188.0,0.1111111111111111,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.22222222222222,932.6642109458687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,2030.0,630.0
30,3,243.92756286276568,14.300795946700001,39.0594892637,84.0,0.0,2011.59,150.0,2.0,0.9285714285714286,6.0,2.0,1.0,0.0,188.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.714285714285715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,36.0,0.0,2031.0,630.0
31,3,703.0853282515012,14.300795946700001,39.0594892637,85.0,0.0,2005.66,200.0,2.0,0.5454545454545454,8.0,2.0,1.0,1.0,186.0,0.3636363636363637,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.72727272727273,368.2827909888815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,36.0,0.0,2030.0,628.0
32,3,47.82893389465994,14.300795946700001,39.0594892637,87.0,0.0,306.66,20.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,186.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,416.1117248835415,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,36.0,0.0,1994.0,628.0
33,3,416.1117248835415,14.300795946700001,39.0594892637,88.0,0.0,1204.07,100.0,2.0,0.7777777777777778,7.0,2.0,1.0,1.0,191.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.77777777777778,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,36.0,0.0,1964.0,639.0
34,3,196.09862896810574,14.300795946700001,39.0594892637,89.0,0.0,621.3199999999998,0.0,0.0,0.0,3.0,1.0,1.0,0.0,186.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,36.0,0.0,1969.0,628.0
35,3,444.80908522033735,14.158356643800001,39.2258474475,90.0,0.0,10386.36,100.0,2.0,0.0,6.0,1.0,1.0,1.0,157.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,64.0,0.5,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,58.0,36.0,0.0,2413.0,585.0
36,3,71.74340084198991,14.158356643800001,39.2258474475,91.0,0.0,1398.02,6.0,0.0,0.0,1.0,0.0,1.0,0.0,172.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.66666666666667,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,39.0,36.0,0.0,2291.0,599.0
37,1,59.786167368324925,14.158356643800001,39.2258474475,92.0,0.0,1087.71,8.0,0.0,0.0,1.0,0.0,1.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72.0,36.0,1.0,2316.0,599.0
38,3,23.91446694732997,14.158356643800001,39.2258474475,93.0,0.0,7342.309999999998,0.0,0.0,0.0,5.0,1.0,0.0,1.0,172.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.857142857142858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,36.0,0.0,2333.0,599.0
39,3,1530.525884629118,14.158356643800001,39.2258474475,94.0,0.0,7577.66,50.0,1.0,0.0,10.0,2.0,1.0,1.0,174.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,0.0,2288.0,602.0
40,3,2238.394106270085,14.158356643800001,39.2258474475,98.0,0.0,7685.93,20.0,2.0,0.0,10.0,2.0,1.0,1.0,170.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.888888888888888,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,62.0,36.0,0.0,2309.0,599.0
41,1,239.14466947329967,14.158356643800001,39.2258474475,101.0,0.0,271.21000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,178.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,36.0,1.0,2284.0,612.0
42,3,1231.5950477874935,14.0859773206,38.9755077144,102.0,0.0,10392.06,50.0,2.0,0.0,6.0,2.0,1.0,1.0,198.0,0.2857142857142857,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,36.0,0.0,1955.0,660.0
43,3,837.0063431565491,14.0859773206,38.9755077144,105.0,0.0,6780.000000000001,100.0,2.0,0.0,8.0,1.0,1.0,1.0,200.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,57.0,36.0,0.0,1855.0,661.0
44,3,1181.3746671981005,14.0859773206,38.9755077144,106.0,0.0,1516.91,50.0,2.0,0.0,6.0,2.0,1.0,1.0,200.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,36.0,0.0,1877.0,661.0
45,3,884.8352770512088,14.0859773206,38.9755077144,108.0,0.0,11737.9,50.0,1.0,0.0,6.0,1.0,1.0,1.0,203.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,36.0,0.0,1851.0,663.0
